time_ind,spatial_ind,n_i,v_i,T_e,n_nI
3,84,1.1865e+17,16345.4,15.9582,3.7824e+17,6.93441
3,85,1.18647e+17,16626.8,15.5826,3.7824e+17,6.93441
3,86,1.18645e+17,16908.2,15.214,3.78241e+17,6.93441
3,87,1.18644e+17,17189.6,14.8526,3.78241e+17,6.93441
3,88,1.18643e+17,17471.1,14.4982,3.78242e+17,6.93441
3,89,1.18642e+17,17752.6,14.1511,3.78242e+17,6.93441
3,90,1.18641e+17,18034.2,13.8112,3.78243e+17,6.93441
3,91,1.1864e+17,18315.9,13.4788,3.78243e+17,6.93441
3,92,1.1864e+17,18597.6,13.1539,3.78243e+17,6.93441
3,93,1.18639e+17,18879.4,12.8367,3.78244e+17,6.93441
3,94,1.18639e+17,19161.3,12.5273,3.78244e+17,6.93441
3,95,1.18638e+17,19443.2,12.2258,3.78245e+17,6.93441
3,96,1.18631e+17,19729.9,11.3598,3.78245e+17,6.93441
